epoch,train_loss,val_loss
1,0.6658836906618844,0.6770397328278598
2,0.5757995896160195,0.6172965515185805
3,0.5219051215398828,0.5566355380065301
4,0.47039299490511555,0.5104245425147169
5,0.43493654624747796,0.4848495152066736
6,0.40605271711164836,0.43862469099900303
7,0.3756886864238013,0.4059091591659714
8,0.35501162035725925,0.3699316187378238
9,0.3179260012364876,0.3975130648297422
10,0.30475575244372416,0.33110611600910916
11,0.29052383671588944,0.3183809558258337
12,0.27015106950235257,0.2949099705061492
13,0.25882943529542324,0.246138635365402
14,0.24526583686776476,0.24311680960304596
15,0.23616096545392667,0.22829924742965138
16,0.230506498442967,0.2074170863146291
17,0.2132534802570973,0.1931739726706463
18,0.2063673171034435,0.19750852214501186
19,0.2061864169301775,0.1834990791976452
20,0.19768359152290435,0.16976769038421266
