epoch,train_loss,val_loss
1,0.7137457027233073,0.6711342621602016
2,0.7024561433520701,0.6687555304880913
3,0.6887688057364098,0.6706952984046184
4,0.6806758580995458,0.6747942968938477
5,0.6634680560923049,0.6635770978777131
6,0.6384573000084076,0.6532233872945021
7,0.6184935624644693,0.6474626414051657
8,0.5992395909103964,0.6541599540197873
9,0.5804889131270882,0.6697382547798947
10,0.577440407193665,0.6878443601921466
11,0.5618498191303972,0.6705678868340788
12,0.551892412127927,0.6412689449519096
13,0.5522711165914578,0.6337907421283233
14,0.5508096604940614,0.6656473749840753
15,0.5426616005133837,0.6462476604436276
16,0.5416329080970692,0.612296734512205
17,0.5348022907440152,0.6432279177318664
18,0.5326419299401876,0.6301187299177257
19,0.5319282769092492,0.6240666750267413
20,0.5323933626392058,0.673017777164542
