loss,model,split,shapiro_p_genuine,shapiro_p_impostor,genuine_normal_a5pct,impostor_normal_a5pct
triplet,mobilenet_v3_large,iam_to_rimes,2.488598501193664e-88,9.243290142715408e-88,False,False
triplet,mobilenet_v3_large,rimes_to_iam,4.789535213573594e-69,7.5421173591586025e-53,False,False
triplet,mobilenet_v3_large,rimes_to_rimes,3.7227516958877616e-57,2.5967216237784244e-52,False,False
triplet,mobilenet_v3_small,iam_to_iam,1.6103479463500153e-36,8.619860303163709e-25,False,False
triplet,mobilenet_v3_small,iam_to_rimes,1.0699923395449581e-63,1.9494382620496752e-57,False,False
triplet,mobilenet_v3_small,rimes_to_iam,6.892975476638839e-70,6.25127960478972e-66,False,False
triplet,mobilenet_v3_small,rimes_to_rimes,9.996142317991051e-54,2.8987076497952412e-47,False,False
triplet,resnet18,iam_to_iam,3.6487537807347975e-38,7.759012350349792e-24,False,False
triplet,resnet18,iam_to_rimes,7.946667029575476e-60,7.027446767101472e-52,False,False
triplet,resnet18,rimes_to_iam,1.4287978483719589e-88,4.864920594171582e-81,False,False
triplet,resnet18,rimes_to_rimes,2.441811033163882e-59,2.484630101270095e-53,False,False
triplet,resnet34,iam_to_iam,3.696287141908318e-43,1.1357117912440033e-39,False,False
triplet,resnet34,iam_to_rimes,3.1514227453212156e-63,5.178493492540867e-53,False,False
triplet,resnet34,rimes_to_iam,5.711303132556086e-81,1.122386993202328e-62,False,False
triplet,resnet34,rimes_to_rimes,6.527214700899054e-58,2.768894650368442e-53,False,False
