loss,split,n_backbones,auc_mean,auc_std,auc_ci95_low,auc_ci95_high,eer_mean,eer_std,eer_ci95_low,eer_ci95_high,d_prime_mean,d_prime_std,d_prime_ci95_low,d_prime_ci95_high,decidability_mean,decidability_std,decidability_ci95_low,decidability_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,gar_at_far_001_mean,gar_at_far_001_std,gar_at_far_001_ci95_low,gar_at_far_001_ci95_high,gar_at_far_01_mean,gar_at_far_01_std,gar_at_far_01_ci95_low,gar_at_far_01_ci95_high
BCE,iam_to_rimes,6,0.6210213181423422,0.08193042869744405,0.5350406062752877,0.7070020300093967,0.4021231917872142,0.06867767816854903,0.33005038865183245,0.4741959949225959,0.498951475789009,0.3199826439199018,0.16315028511131802,0.8347526664667,0.498951475789009,0.3199826439199018,0.16315028511131802,0.8347526664667,0.5978768082127858,0.06867767816854903,0.5258040050774041,0.6699496113481674,0.6019235428592863,0.10013751081977125,0.4968356701145486,0.7070114156040239,0.004173795821019339,0.005266914036078529,-0.001353491480709873,0.009701083122748552,0.019261678851039563,0.02258019342382808,-0.004434780883670553,0.04295813858574968
BCE,rimes_to_iam,6,0.7147790279899788,0.13349603606835492,0.5746835299550074,0.8548745260249503,0.3285856746444676,0.12824117245789393,0.1940048177651064,0.4631665315238288,0.8991681684630602,0.6795437484046818,0.18603074001867725,1.6123055969074431,0.8991681684630602,0.6795437484046818,0.18603074001867725,1.6123055969074431,0.6714143253555326,0.12824117245789393,0.5368334684761714,0.8059951822348937,0.671471593540501,0.14682992044982246,0.5173830420173651,0.825560145063637,0.010449184876864378,0.015311439061443532,-0.0056191849723099836,0.026517554726038742,0.04010579257717655,0.05471511638537336,-0.017314200598690994,0.0975257857530441
CONTRASTIVE,iam_to_rimes,6,0.7377579458673881,0.032304012019039374,0.70385696434298,0.7716589273917962,0.3223155493337481,0.024435236139199488,0.29667234165999784,0.3479587570074984,0.7736434490091973,0.14494278251321802,0.621535327294134,0.9257515707242607,0.7736434490091973,0.14494278251321802,0.621535327294134,0.9257515707242607,0.6776844506662519,0.024435236139199495,0.6520412429925017,0.7033276583400022,0.6776921802364445,0.02444563978171968,0.6520380546094487,0.7033463058634403,0.02711671073780267,0.011820069616408208,0.01471230841629224,0.03952111305931309,0.13353554207497279,0.032516273739931614,0.09941180553567466,0.1676592786142709
CONTRASTIVE,rimes_to_iam,6,0.95004368245732,0.01436261944892888,0.9349710377253507,0.9651163271892892,0.11674037460978148,0.022588488629955054,0.09303520959012143,0.14044553962944153,2.1286714865242615,0.16485516170251938,1.9556666044128221,2.3016763686357007,2.1286714865242615,0.16485516170251938,1.9556666044128221,2.3016763686357007,0.8832596253902185,0.022588488629955047,0.8595544603705585,0.9069647904098785,0.8832503429557873,0.02259821681936977,0.8595349688274438,0.9069657170841308,0.11888657648283037,0.04007898626978606,0.07682625988041507,0.16094689308524568,0.39706902532084626,0.13467354416526178,0.25573780832271464,0.5384002423189779
TRIPLET,iam_to_rimes,6,0.6985940197501176,0.03415697165757891,0.6627484763417373,0.7344395631584979,0.355459636024265,0.025169486949834,0.3290458793812123,0.3818733926673177,0.6413997369073233,0.1650759082768358,0.46816319547341134,0.8146362783412353,0.6413997369073233,0.1650759082768358,0.46816319547341134,0.8146362783412353,0.644540363975735,0.025169486949833998,0.6181266073326823,0.6709541206187877,0.6445255558561125,0.02518588031749063,0.6180945954287831,0.6709565162834419,0.011899206719552032,0.006236372747466,0.005354534894685172,0.018443878544418892,0.0707471353761601,0.019813896653402125,0.04995372606286415,0.09154054468945606
TRIPLET,rimes_to_iam,6,0.8689634561639639,0.048300762685206826,0.8182749143679497,0.919651997959978,0.20399757197363858,0.04867677231654467,0.15291443226955437,0.2550807116777228,1.3142526105927577,0.34208877948357724,0.9552524533941735,1.6732527677913418,1.3142526105927577,0.34208877948357724,0.9552524533941735,1.6732527677913418,0.7960024280263616,0.04867677231654467,0.7449192883222774,0.8470855677304457,0.7959849335852999,0.04867671297271851,0.7449018561587418,0.8470680110118579,0.07552896288588275,0.04749797578629242,0.025682894272831,0.1253750314989345,0.22550294831772463,0.10976032077213753,0.110316555853028,0.34068934078242125
