rank,score
1,0.8876991868019104
2,0.8252367973327637
3,0.8183324337005615
4,0.8029435873031616
5,0.7857266068458557
6,0.709579348564148
7,0.6855978965759277
8,0.6771885752677917
9,0.6761921644210815
10,0.6669135093688965
