rank,score
1,-0.3016745448112488
2,0.27849942445755005
3,0.28227168321609497
4,0.29915571212768555
5,0.30993250012397766
6,0.3126327097415924
7,0.3179320693016052
8,0.31932908296585083
9,0.33523592352867126
10,0.33627521991729736
