loss,backbone,split,n_genuine,n_impostor,auc,auc_ci95_low,auc_ci95_high,eer,eer_ci95_low,eer_ci95_high,d_prime,decidability,accuracy_at_eer,precision_at_eer,recall_at_eer,f1_at_eer,frr_at_far_1pct,gar_at_far_1pct,frr_at_far_0.1pct,gar_at_far_0.1pct,frr_at_far_0.01pct,gar_at_far_0.01pct,far_0.01pct_valid
bce,efficientnet_b0,iam_to_iam,479,479,0.9609267742033899,0.9475538373699557,0.9736627825889879,0.07620041753653448,0.058455114822546964,0.09394572025052193,3.4481497783452175,3.4481497783452175,0.9237995824634656,0.9246861924686193,0.9227557411273486,0.9237199582027167,1.0,0.0,1.0,0.0,,,False
bce,efficientnet_b0,iam_to_rimes,6429,6429,0.6309700142802046,0.6230052793666783,0.6395203366560098,0.39648467879919114,0.38839244050396643,0.4041861098149013,0.5456758554749447,0.5456758554749447,0.6035153212008089,0.5906552240839122,0.6744439259604915,0.6297748729121279,1.0,0.0,1.0,0.0,,,False
bce,efficientnet_b0,rimes_to_iam,3844,3844,0.6740970156607159,0.6619076483168764,0.6864100114196104,0.3340270551508845,0.3240081945889698,0.3450864984391259,0.38378417656098207,0.38378417656098207,0.6659729448491155,0.6659729448491155,0.6659729448491155,0.6659729448491155,1.0,0.0,1.0,0.0,,,False
bce,efficientnet_b0,rimes_to_rimes,1527,1527,0.8855267914924935,0.8744060630544974,0.8971385879319594,0.17026850032743945,0.15782580222658804,0.18238375900458415,1.7202726945155038,1.7202726945155038,0.8297314996725605,0.8297314996725605,0.8297314996725605,0.8297314996725604,0.885396201702685,0.114603798297315,0.9855926653569089,0.014407334643091027,,,False
bce,efficientnet_b1,iam_to_iam,479,479,0.9879751221446909,0.9823963459015608,0.9924557947359016,0.05114822546972861,0.0407098121085595,0.07098121085594988,4.413203763143857,4.413203763143857,0.9488517745302714,0.9516806722689075,0.9457202505219207,0.9486910994764397,0.2713987473903967,0.7286012526096033,0.7870563674321504,0.21294363256784968,,,False
bce,efficientnet_b1,iam_to_rimes,6429,6429,0.6553997539100476,0.646887838178618,0.6643501796221484,0.3757193964846788,0.3666180587960802,0.3831875097215741,0.550939342389532,0.550939342389532,0.6242806035153212,0.6242999377722465,0.6242028309223829,0.6242513805708951,0.9502255405195209,0.04977445948047908,0.9877119303157568,0.012288069684243272,,,False
bce,efficientnet_b1,rimes_to_iam,3844,3844,0.7752766315005288,0.7674894287054652,0.7830499785264764,0.2281477627471384,0.22008324661810613,0.23595538501560873,1.2675969152077409,1.2675969152077409,0.7718522372528616,0.6911818514452982,0.9828303850156087,0.8116004296455425,1.0,0.0,1.0,0.0,,,False
bce,efficientnet_b1,rimes_to_rimes,1527,1527,0.4681455263454716,0.4469512055217395,0.4885303566580851,0.527177472167649,0.5081777996070727,0.5455222658808121,-0.0975926425525429,0.0975926425525429,0.472822527832351,0.472822527832351,0.472822527832351,0.472822527832351,1.0,0.0,1.0,0.0,,,False
bce,mobilenet_v3_large,iam_to_iam,479,479,0.9515866824150871,0.9385823588634987,0.9640615670259457,0.1137787056367432,0.09185803757828812,0.13465553235908143,2.302574428431625,2.302574428431625,0.8862212943632568,0.8870292887029289,0.8851774530271399,0.8861024033437828,0.5929018789144049,0.407098121085595,1.0,0.0,,,False
bce,mobilenet_v3_large,iam_to_rimes,6429,6429,0.5275975362552263,0.5185958679127411,0.5355837112544237,0.47783481101259917,0.4701333799968891,0.4866250583294447,0.1413657501910126,0.1413657501910126,0.5221651889874008,0.5287820642294486,0.4072172966246695,0.4601054481546573,0.975268315445637,0.024731684554363042,0.995955825167211,0.004044174832788925,,,False
bce,mobilenet_v3_large,rimes_to_iam,3844,3844,0.8136173947316845,0.8041576612767873,0.8226332791498514,0.27055150884495316,0.26105293964620185,0.2812174817898023,1.1479781097617732,1.1479781097617732,0.7294484911550468,0.7294484911550468,0.7294484911550468,0.7294484911550468,0.8962018730489074,0.10379812695109261,0.972684703433923,0.027315296566077004,,,False
bce,mobilenet_v3_large,rimes_to_rimes,1527,1527,0.9169616194677855,0.9059842395921653,0.9270261788569769,0.14472822527832352,0.1316306483300589,0.1565160445317616,2.1595163890263094,2.1595163890263094,0.8552717747216765,0.8557377049180328,0.8546168958742633,0.8551769331585845,0.822527832351015,0.17747216764898494,0.9325474787164375,0.06745252128356254,,,False
bce,mobilenet_v3_small,iam_to_iam,479,479,0.9599940725502416,0.9478156693877728,0.9716732188231398,0.07933194154488521,0.06367432150313154,0.10127870563674318,2.781246265303002,2.781246265303002,0.9206680584551148,0.918918918918919,0.9227557411273486,0.9208333333333332,0.6179540709812108,0.38204592901878914,0.755741127348643,0.24425887265135698,,,False
bce,mobilenet_v3_small,iam_to_rimes,6429,6429,0.5162809646879041,0.5067711221906511,0.5259590368402083,0.49214496811323694,0.4837455280759061,0.5007835588738528,0.09925284006764222,0.09925284006764222,0.5078550318867631,0.5078550318867631,0.5078550318867631,0.5078550318867631,1.0,0.0,1.0,0.0,,,False
bce,mobilenet_v3_small,rimes_to_iam,3844,3844,0.5400215249572018,0.526052361695078,0.5535687466771194,0.5117065556711758,0.5002568938605618,0.5231562174817899,0.14649130607835686,0.14649130607835686,0.48829344432882416,0.48633879781420764,0.4167533818938606,0.4488652283552816,0.9789281997918835,0.021071800208116546,0.9973985431841832,0.0026014568158168575,,,False
bce,mobilenet_v3_small,rimes_to_rimes,1527,1527,0.5687161758506242,0.5494499682424502,0.5892136157332177,0.44564505566470203,0.42697282252783236,0.462671905697446,0.1816238424991406,0.1816238424991406,0.554354944335298,0.5543905635648755,0.5540275049115914,0.5542089747789061,1.0,0.0,1.0,0.0,,,False
bce,resnet18,iam_to_iam,479,479,0.9626962922930078,0.9498243012364834,0.9740440897659965,0.060542797494780795,0.04592901878914403,0.07620041753653443,3.74028811700406,3.74028811700406,0.9394572025052192,0.934020618556701,0.9457202505219207,0.9398340248962656,1.0,0.0,1.0,0.0,,,False
bce,resnet18,iam_to_rimes,6429,6429,0.7173133308369649,0.7086367411060102,0.7263017757821347,0.3416550007777259,0.3331758438326333,0.35013610203764195,0.8641080659243096,0.8641080659243096,0.6583449992222741,0.6583696328562539,0.6582672266293358,0.6583184257602862,0.9589360709286048,0.04106392907139524,0.9912894695909161,0.008710530409083839,,,False
