rank,score
1,0.9770285487174988
2,0.9724308848381042
3,0.9692025184631348
4,0.9639381170272827
5,0.957797646522522
6,0.9525778889656067
7,0.9439138174057007
8,0.931219220161438
9,0.9265104532241821
10,0.9248563051223755
