loss,backbone,split,auc,eer
contrastive,mobilenet_v3_large,iam_to_iam,0.9953975095994176,0.03131524008350729
contrastive,efficientnet_b1,iam_to_rimes,0.7723321357394377,0.29561362575828276
contrastive,efficientnet_b0,rimes_to_iam,0.9669916818350638,0.08181581685744016
contrastive,resnet18,rimes_to_rimes,0.9340124860135977,0.11525867714472823
