rank,score
1,0.9996688365936279
2,0.999639630317688
3,0.9995896220207214
4,0.999539315700531
5,0.9994720220565796
6,0.9994365572929382
7,0.9993557929992676
8,0.9993535280227661
9,0.9993271827697754
10,0.9992316365242004
