rank,score
1,-0.4954419732093811
2,-0.47037845849990845
3,-0.45748087763786316
4,-0.44842565059661865
5,-0.44467630982398987
6,-0.4291805922985077
7,-0.41143640875816345
8,-0.40876245498657227
9,-0.4070768356323242
10,-0.3917238712310791
