rank,score
1,0.9989875555038452
2,0.9982580542564392
3,0.9973383545875549
4,0.9971664547920227
5,0.9970535635948181
6,0.996982216835022
7,0.9967484474182129
8,0.9963849782943726
9,0.9962788820266724
10,0.9954859018325806
