loss,split,n_backbones,auc_mean,auc_std,auc_ci95_low,auc_ci95_high,eer_mean,eer_std,eer_ci95_low,eer_ci95_high,d_prime_mean,d_prime_std,d_prime_ci95_low,d_prime_ci95_high,decidability_mean,decidability_std,decidability_ci95_low,decidability_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,gar_at_far_001_mean,gar_at_far_001_std,gar_at_far_001_ci95_low,gar_at_far_001_ci95_high,gar_at_far_01_mean,gar_at_far_01_std,gar_at_far_01_ci95_low,gar_at_far_01_ci95_high
BCE,iam_to_iam,6,0.9555749989467155,0.025365350241258838,0.9289556963850942,0.9821943015083368,0.09011830201809327,0.04026396111944697,0.047863866215959415,0.13237273782022713,3.102651725317228,0.9339146044074793,2.1225684548326598,4.082734995801796,3.102651725317228,0.9339146044074793,2.1225684548326598,4.082734995801796,0.9098816979819068,0.040263961119446946,0.8676272621797729,0.9521361337840406,0.9098843685170114,0.04036370733886567,0.8675252554772747,0.9522434815567481,0.07620041753653445,0.11846380520956608,-0.048119721688079764,0.20052055676114866,0.25295755045233126,0.30286056969849084,-0.06487512530846679,0.5707902262131292
BCE,rimes_to_rimes,6,0.734144598278788,0.18007324691181784,0.5451693151777368,0.9231198813798391,0.3087753765553372,0.15285831859618043,0.14836040916593038,0.469190343944744,1.0333524745190106,0.8788893729451611,0.11101464302452502,1.955690306013496,1.0658833553698581,0.8309624185749946,0.19384177790309398,1.9379249328366224,0.6912246234446627,0.1528583185961804,0.530809656055256,0.8516395908340695,0.690349410650111,0.1529547857811181,0.5298332071587502,0.8508656141414719,0.016481117659899586,0.025747373427201733,-0.010539093648316726,0.0435013289681159,0.06505129884304736,0.06952539616835669,-0.007911129773913853,0.13801372746000856
CONTRASTIVE,iam_to_iam,6,0.9901427091641569,0.003579676077189793,0.9863860695094709,0.9938993488188429,0.04906054279749478,0.012716027000284817,0.03571589086551627,0.062405194729473284,3.6409553621973507,0.3684440108984962,3.2542970858542444,4.027613638540457,3.6409553621973507,0.3684440108984962,3.2542970858542444,4.027613638540457,0.9509394572025052,0.012716027000284824,0.9375948052705266,0.9642841091344837,0.9509205312089634,0.012725429684061552,0.9375660117655189,0.9642750506524078,0.650661099512874,0.09680786623995567,0.5490674744583812,0.7522547245673668,0.8107167710508003,0.05184295207289958,0.7563109294680801,0.8651226126335205
CONTRASTIVE,rimes_to_rimes,6,0.9270717852146054,0.006553787464165745,0.9201940070734064,0.9339495633558045,0.12901113294040603,0.011433216944489951,0.11701270760019561,0.14100955828061645,2.1229882325179323,0.11172146237509939,2.0057437481602047,2.24023271687566,2.1229882325179323,0.11172146237509939,2.0057437481602047,2.24023271687566,0.870988867059594,0.011433216944489944,0.8589904417193835,0.8829872923998044,0.8710311995591767,0.011428330573101959,0.8590379021512506,0.8830244969671028,0.18478498144509933,0.09549329789671598,0.08457091126108135,0.2849990516291173,0.5049115913555992,0.036024289559856086,0.4671064179895534,0.542716764721645
TRIPLET,iam_to_iam,6,0.92370732926257,0.028626589122759623,0.8936655663884874,0.9537490921366527,0.1534446764091858,0.035784123358773824,0.11589154201405416,0.19099781080431744,1.835810299272091,0.2116206065657687,1.6137280926055673,2.057892505938615,1.835810299272091,0.2116206065657687,1.6137280926055673,2.057892505938615,0.8465553235908142,0.03578412335877382,0.8090021891956826,0.8841084579859458,0.8466050303211055,0.03579652617484389,0.8090388799687548,0.8841711806734561,0.1882393876130828,0.044608393911322486,0.14142574920402196,0.23505302602214362,0.3249826026443981,0.051994057235579975,0.2704181859185888,0.3795470193702074
TRIPLET,rimes_to_rimes,6,0.8878144715788155,0.014378710683917767,0.872724940131359,0.902904003026272,0.1832023575638507,0.011157471336405387,0.171493309492309,0.1949114056353924,1.691196552688093,0.09823320629469982,1.5881071249811805,1.7942859803950055,1.691196552688093,0.09823320629469982,1.5881071249811805,1.7942859803950055,0.8167976424361493,0.01115747133640538,0.8050885943646076,0.828506690507691,0.8168093241766968,0.011125468982513733,0.8051338605158896,0.828484787837504,0.06996289019864659,0.023526167503814772,0.04527369154998062,0.09465208884731255,0.19275267408862692,0.07625069891558527,0.11273247307963366,0.27277287509762016
