n,n_nonzero,statistic,p_value,effect_size,loss_a,loss_b,mean_auc_a,mean_auc_b
24,24,1.0,2.384185791015625e-07,-0.9933333333333333,bce,contrastive,0.7563799858394562,0.9012540306758675
24,24,63.0,0.011516094207763672,-0.58,bce,triplet,0.7563799858394562,0.8447698191888667
24,24,0.0,1.1920928955078125e-07,1.0,contrastive,triplet,0.9012540306758675,0.8447698191888667
