backbone,loss,split,auc,eer,d_prime,accuracy,precision,recall,f1,mu_genuine,mu_impostor,sigma_genuine,sigma_impostor,gar_far1pct,gar_far0.1pct,far0.1pct_valid,notes
efficientnet_b0,bce,iam_to_iam,0.96092677420339,0.0762004175365344,3.448149778345217,0.9237995824634656,0.9246861924686192,0.9227557411273486,0.9237199582027168,0.6571982375701932,0.1288729175645274,0.1703746026858785,0.1338850176856886,0.0,0.0,True,
efficientnet_b0,bce,iam_to_rimes,0.6309700142802046,0.3964846787991911,0.5456758554749447,0.6035153212008089,0.5906552240839122,0.6744439259604915,0.6297748729121279,0.5787164039236518,0.5332377746221455,0.0610859497366449,0.1008010016715684,0.0,0.0,True,
efficientnet_b0,bce,rimes_to_iam,0.6740970156607159,0.3340270551508845,0.383784176560982,0.6659729448491155,0.6659729448491155,0.6659729448491155,0.6659729448491155,0.5173557574059291,0.5086592439015499,0.0172700305729506,0.0269942356207221,0.0,0.0,True,
efficientnet_b0,bce,rimes_to_rimes,0.8855267914924935,0.1702685003274394,1.7202726945155038,0.8297314996725605,0.8297314996725605,0.8297314996725605,0.8297314996725605,0.5986202655954148,0.4013456066517792,0.0785757318642009,0.1418703714001309,0.114603798297315,0.014407334643091,True,
efficientnet_b1,bce,iam_to_iam,0.9879751221446909,0.0511482254697286,4.413203763143857,0.9488517745302714,0.9516806722689076,0.9457202505219208,0.9486910994764398,0.8350963749784767,0.1408181196790274,0.1723727256668506,0.1406620621216539,0.7286012526096033,0.2129436325678496,True,
efficientnet_b1,bce,iam_to_rimes,0.6553997539100476,0.3757193964846788,0.550939342389532,0.6242806035153212,0.6242999377722465,0.6242028309223829,0.6242513805708952,0.549624969274487,0.4857041911113538,0.1281305856425457,0.1024914827929092,0.049774459480479,0.0122880696842432,True,
efficientnet_b1,bce,rimes_to_iam,0.7752766315005288,0.2281477627471384,1.2675969152077409,0.7718522372528616,0.6911818514452982,0.9828303850156088,0.8116004296455425,0.5760803492342458,0.4443707457354969,0.0147259218654829,0.1462040614264176,0.0,0.0,True,
efficientnet_b1,bce,rimes_to_rimes,0.4681455263454716,0.527177472167649,-0.0975926425525429,0.472822527832351,0.472822527832351,0.472822527832351,0.472822527832351,0.4754773059856212,0.4773560292828528,0.0194555026145664,0.0190436248327631,0.0,0.0,True,COLLASSATO (AUC~chance)
mobilenet_v3_large,bce,iam_to_iam,0.9515866824150871,0.1137787056367432,2.302574428431625,0.8862212943632568,0.8870292887029289,0.8851774530271399,0.8861024033437827,0.6103667208384372,0.2940003444325949,0.1586153191739212,0.1122361179055646,0.407098121085595,0.0,True,
mobilenet_v3_large,bce,iam_to_rimes,0.5275975362552263,0.4778348110125991,0.1413657501910126,0.5221651889874008,0.5287820642294486,0.4072172966246695,0.4601054481546573,0.4539802069564985,0.4471594122209339,0.052798955058297,0.0432233168453104,0.024731684554363,0.0040441748327889,True,COLLASSATO (AUC~chance)
mobilenet_v3_large,bce,rimes_to_iam,0.8136173947316845,0.2705515088449531,1.1479781097617732,0.7294484911550468,0.7294484911550468,0.7294484911550468,0.7294484911550468,0.6445583249292066,0.5276665405082467,0.052944968880785,0.1339145473682906,0.1037981269510925,0.027315296566077,True,
mobilenet_v3_large,bce,rimes_to_rimes,0.9169616194677856,0.1447282252783235,2.1595163890263094,0.8552717747216765,0.8557377049180328,0.8546168958742633,0.8551769331585846,0.6727269234302861,0.3301198973656481,0.1276851584748247,0.1844886774781667,0.177472167648985,0.0674525212835625,True,
mobilenet_v3_small,bce,iam_to_iam,0.9599940725502416,0.0793319415448852,2.781246265303002,0.9206680584551148,0.918918918918919,0.9227557411273486,0.9208333333333332,0.6329852557879151,0.2499239124311037,0.1646363709088678,0.104086644943488,0.3820459290187892,0.244258872651357,True,
mobilenet_v3_small,bce,iam_to_rimes,0.5162809646879041,0.4921449681132369,0.0992528400676422,0.5078550318867631,0.5078550318867631,0.5078550318867631,0.5078550318867631,0.4921583472236094,0.4903268294481638,0.0153992110568959,0.0210688044921068,0.0,0.0,True,COLLASSATO (AUC~chance)
mobilenet_v3_small,bce,rimes_to_iam,0.5400215249572018,0.5117065556711758,0.1464913060783568,0.4882934443288241,0.4863387978142076,0.4167533818938606,0.4488652283552816,0.5940897074313863,0.5836943120741199,0.0725817867452622,0.0693054742973409,0.0210718002081164,0.0026014568158168,True,COLLASSATO (AUC~chance)
mobilenet_v3_small,bce,rimes_to_rimes,0.5687161758506242,0.445645055664702,0.1816238424991406,0.554354944335298,0.5543905635648755,0.5540275049115914,0.554208974778906,0.4803336000005326,0.4760073064664804,0.0231856808562506,0.0244380060728227,0.0,0.0,True,
resnet18,bce,iam_to_iam,0.9626962922930078,0.0605427974947807,3.74028811700406,0.9394572025052192,0.934020618556701,0.9457202505219208,0.9398340248962656,0.5854676261637555,0.1819268670594144,0.038251010616502,0.1477074416718639,0.0,0.0,True,
resnet18,bce,iam_to_rimes,0.7173133308369649,0.3416550007777259,0.8641080659243096,0.6583449992222741,0.6583696328562539,0.6582672266293358,0.6583184257602862,0.5856668188516674,0.5285204133283371,0.0492711182533047,0.0794959775786313,0.0410639290713952,0.0087105304090838,True,
resnet18,bce,rimes_to_iam,0.8875856978347,0.1817117585848075,1.95510116684378,0.8182882414151925,0.8182054616384915,0.8184183142559833,0.8183118741058655,0.6882488932169811,0.4682572510143845,0.0935662273840347,0.1287155942784559,0.1157648283038501,0.0327783558792924,True,
resnet18,bce,rimes_to_rimes,0.82112865603164,0.2442698100851342,1.3453798271082127,0.7557301899148657,0.7557301899148657,0.7557301899148657,0.7557301899148657,0.5824158093022925,0.4322971921919137,0.0697828610349837,0.1415306396774371,0.0563195808775376,0.0130975769482645,True,
resnet34,bce,iam_to_iam,0.9102710500738752,0.1597077244258873,1.9304479996756052,0.8402922755741128,0.8410041841004184,0.8392484342379958,0.8401253918495298,0.5530627061280428,0.3691823592483375,0.0483976664859308,0.1257132142283694,0.0,0.0,True,
resnet34,bce,iam_to_rimes,0.678566308883706,0.3289002955358532,0.7923670006866131,0.6710997044641468,0.6182033096926713,0.8948514543474879,0.7312360978709882,0.5048860985108344,0.4250270610202673,0.0583255196563683,0.130052042512328,0.0,0.0,True,
resnet34,bce,rimes_to_iam,0.5980759032550423,0.445369406867846,0.4940573363257275,0.554630593132154,0.554630593132154,0.554630593132154,0.554630593132154,0.5965441924429709,0.5744246444282094,0.0207393851942645,0.0598230856147912,0.0,0.0,True,
resnet34,bce,rimes_to_rimes,0.7443888204847132,0.3205631958087753,0.8909147365174391,0.6794368041912247,0.6851351351351351,0.6640471512770137,0.6744263385433987,0.6017013459412116,0.4964910139541368,0.0633284073058542,0.1545353719171073,0.0419122462344466,0.0039292730844793,True,
efficientnet_b0,contrastive,iam_to_iam,0.9907906607798956,0.0417536534446764,3.906536891873566,0.9582463465553236,0.9582463465553236,0.9582463465553236,0.9582463465553236,0.8585950883731464,-0.0049345077235166,0.1349377811917882,0.2819851945668207,0.7954070981210856,0.5594989561586639,True,
efficientnet_b0,contrastive,iam_to_rimes,0.7559693338153806,0.3084461035930937,0.8806860140243506,0.6915538964069062,0.6914943243663505,0.6917094415927827,0.691601866251944,0.7314029895751362,0.4884528482604008,0.2520755401419741,0.2977591899138868,0.1382796702442059,0.0248872297402394,True,
efficientnet_b0,contrastive,rimes_to_iam,0.9669916818350638,0.0818158168574401,2.3629313011342274,0.9181841831425598,0.918075422626788,0.9183142559833508,0.9181948237742228,0.9379950719463962,0.4131290519190419,0.1098988197276174,0.2942808944899597,0.6264308012486993,0.1303329864724245,True,
efficientnet_b0,contrastive,rimes_to_rimes,0.9238890968890467,0.1358873608382449,2.081053746435872,0.8641126391617551,0.8638743455497382,0.8644400785854617,0.8641571194762684,0.7918601513065071,0.1549378834779483,0.2625149596520514,0.344134242967461,0.4734774066797642,0.1283562540929927,True,
efficientnet_b1,contrastive,iam_to_iam,0.9875349218317564,0.045929018789144,3.41494604173639,0.954070981210856,0.954070981210856,0.954070981210856,0.954070981210856,0.8677435501134471,0.0116882113494865,0.1422266430171768,0.3247330096842445,0.8100208768267223,0.5720250521920668,True,
efficientnet_b1,contrastive,iam_to_rimes,0.7723321357394377,0.2956136257582827,0.926310982897706,0.7043863742417172,0.7044181705040448,0.704308601648779,0.7043633818153535,0.8289880895467675,0.6477394562022235,0.169700016029616,0.2185707540641957,0.1585005444081505,0.0455747394618136,True,
efficientnet_b1,contrastive,rimes_to_iam,0.9538831886335016,0.1190166493236212,2.2115931768154864,0.8809833506763788,0.8810824876398647,0.880853277835588,0.8809678678288019,0.9050479810743066,0.3914117193301126,0.0988786018518471,0.3132100257684445,0.3995837669094693,0.1181061394380853,True,
efficientnet_b1,contrastive,rimes_to_rimes,0.932010966969146,0.1273739358218729,2.119666787267159,0.872626064178127,0.8723821989528796,0.8729535036018337,0.8726677577741407,0.8164067312772554,0.2047449120710108,0.2424097988877214,0.3282942307102052,0.5036018336607727,0.2933857236411263,True,
mobilenet_v3_large,contrastive,iam_to_iam,0.9953975095994176,0.0313152400835072,4.171890406906942,0.9686847599164928,0.9686847599164928,0.9686847599164928,0.9686847599164928,0.8927791603920604,0.0047454713242972,0.1175978963128946,0.2771110503788443,0.8747390396659708,0.7244258872651357,True,
mobilenet_v3_large,contrastive,iam_to_rimes,0.696493708113761,0.352932026753772,0.5844636349261493,0.647067973246228,0.647067973246228,0.647067973246228,0.647067973246228,0.6916567860152367,0.535650431283246,0.264136173037573,0.2696795665386835,0.0959713796857987,0.0189765126769326,True,
mobilenet_v3_large,contrastive,rimes_to_iam,0.9652491659637408,0.0975546305931321,1.888018074228012,0.9024453694068678,0.9024453694068678,0.9024453694068678,0.9024453694068678,0.9613752632336952,0.6607582861897764,0.0393422372839155,0.2217126034509938,0.4214360041623308,0.1672736732570239,True,
mobilenet_v3_large,contrastive,rimes_to_rimes,0.925097213269638,0.133267845448592,2.074428217232214,0.866732154551408,0.8664921465968587,0.8670595939751146,0.8667757774140753,0.7956230356586705,0.1475262845169262,0.2756764322813993,0.3452786692128188,0.5579567779960707,0.3005893909626719,True,
mobilenet_v3_small,contrastive,iam_to_iam,0.9919848675694404,0.0542797494780793,3.61467794808974,0.9457202505219208,0.9475890985324948,0.9436325678496869,0.9456066945606696,0.860250781436056,-0.0036062272362768,0.131010586461841,0.311552134901455,0.8663883089770354,0.7578288100208769,True,
mobilenet_v3_small,contrastive,iam_to_rimes,0.7018065113213258,0.3508321667444392,0.6247729761705364,0.6491678332555607,0.6491910392034848,0.6490900606626225,0.6491405460060667,0.7452305007610354,0.5892021744110028,0.244331237160188,0.2550263157243557,0.10701508788303,0.0152434282158967,True,
mobilenet_v3_small,contrastive,rimes_to_iam,0.9388515867533064,0.1396982310093652,2.0525389695930167,0.8603017689906347,0.8603017689906347,0.8603017689906347,0.8603017689906347,0.8914048252869533,0.4409608817473974,0.1098925001619995,0.2902522090584976,0.3826742976066597,0.1527055150884495,True,
mobilenet_v3_small,contrastive,rimes_to_rimes,0.9164452644368192,0.1450556647020301,1.9625548522896104,0.8549443352979699,0.8547120418848168,0.8552717747216765,0.8549918166939443,0.7502992451203147,0.1269230874354104,0.2781564013112677,0.3527223176977914,0.4826457105435494,0.1971185330713818,True,
resnet18,contrastive,iam_to_iam,0.9900889553305644,0.0521920668058455,3.620301771848336,0.9478079331941544,0.9478079331941544,0.9478079331941544,0.9478079331941544,0.8863748650461248,0.0114570046368683,0.115812859043924,0.3215525373941111,0.7411273486430062,0.55741127348643,True,
resnet18,contrastive,iam_to_rimes,0.7640630425194825,0.3041686109814901,0.8808449773544645,0.6958313890185098,0.695800933125972,0.6959091616114481,0.6958550431604323,0.8459375878538995,0.6862494297951998,0.1529554694938378,0.2057585112306717,0.1196142479390263,0.020687509721574,True,
resnet18,contrastive,rimes_to_iam,0.94336319233672,0.1338449531737773,2.056285919202941,0.8661550468262227,0.8662503252667187,0.8660249739854319,0.866137634968128,0.929119004950346,0.4158451146892932,0.1009715468193699,0.3382560700384538,0.3394901144640998,0.0796045785639958,True,
resnet18,contrastive,rimes_to_rimes,0.9340124860135977,0.1152586771447282,2.260614990436145,0.8847413228552717,0.8847413228552717,0.8847413228552717,0.8847413228552717,0.7910343519879777,0.0625534049468877,0.2837620094944784,0.3566061880536462,0.5389652914210871,0.114603798297315,True,
resnet34,contrastive,iam_to_iam,0.9850593398738674,0.068893528183716,3.11737911272913,0.931106471816284,0.931106471816284,0.931106471816284,0.931106471816284,0.8425451483974128,0.0090543246382773,0.1456359667937399,0.3489450217760521,0.7766179540709812,0.732776617954071,True,
resnet34,contrastive,iam_to_rimes,0.735882943694941,0.3219007621714108,0.7447821086819771,0.6780992378285892,0.6780715396578538,0.6781770104215274,0.6781242709386422,0.6951100628017315,0.4773864844743829,0.2974255839569426,0.2871478996920822,0.1818323222896252,0.0373308446103592,True,
resnet34,contrastive,rimes_to_iam,0.9319232792215876,0.1285119667013527,2.2006614781718867,0.8714880332986472,0.8716814159292036,0.8712278876170656,0.8714545927660682,0.9140380499332088,0.3442233935580952,0.1087175544241524,0.3496694868103575,0.212799167533819,0.065296566077003,True,
resnet34,contrastive,rimes_to_rimes,0.9309756837093844,0.1172233136869679,2.2396108014465947,0.8827766863130321,0.882275997383911,0.8834315651604453,0.8828534031413613,0.7959847415028324,0.0863236090846569,0.2811484495485018,0.3489502624861889,0.472822527832351,0.074656188605108,True,
efficientnet_b0,triplet,iam_to_iam,0.924712671231384,0.1638830897703549,1.7735410586191722,0.8361169102296451,0.8354166666666667,0.837160751565762,0.8362877997914494,0.8517878845738469,0.2356824257832977,0.1314194175822753,0.473375820328513,0.3465553235908142,0.2233820459290187,True,
efficientnet_b0,triplet,iam_to_rimes,0.6830605824667599,0.3667755482967802,0.6003310958666699,0.6332244517032198,0.6333073929961089,0.6329133613314668,0.6331103158549868,0.7610093058488346,0.6463258010198372,0.1676638789616379,0.211841017036174,0.0818167677710375,0.0129102504277492,True,
efficientnet_b0,triplet,rimes_to_iam,0.9049761388750228,0.1655827263267429,1.5005945380944374,0.834417273673257,0.834504293520687,0.8342872008324662,0.8343957330558085,0.8582699875348285,0.462100797392424,0.1306095478837625,0.3497738613887826,0.2832986472424558,0.0494276795005202,True,
efficientnet_b0,triplet,rimes_to_rimes,0.8914123382262689,0.1853307138179436,1.7611708636142094,0.8146692861820564,0.8142576847612819,0.8153241650294696,0.8147905759162304,0.7659472846319336,0.0265914057341807,0.2863448503114403,0.520082970519281,0.1768172888015717,0.0556647020301244,True,
efficientnet_b1,triplet,iam_to_iam,0.9463827302007924,0.1221294363256785,2.079166411587868,0.8778705636743215,0.8770833333333333,0.8789144050104384,0.8779979144942649,0.8679056872219034,0.2187911713406412,0.1139417591903809,0.4265609124725228,0.4133611691022965,0.208768267223382,True,
efficientnet_b1,triplet,iam_to_rimes,0.7383484643306146,0.3251672110748173,0.8734971499451333,0.6748327889251827,0.674805598755832,0.674910561518121,0.6748580760556808,0.704969671674665,0.4606521941802852,0.2325942019091751,0.3199445781155219,0.0913050241095038,0.0169544252605381,True,
efficientnet_b1,triplet,rimes_to_iam,0.9442868989985068,0.127471383975026,1.8869192635104344,0.872528616024974,0.872528616024974,0.872528616024974,0.872528616024974,0.8896903731345619,0.2992829242289942,0.1308714770058286,0.4227045260885149,0.3993236212278876,0.1680541103017689,True,
efficientnet_b1,triplet,rimes_to_rimes,0.8948267573118488,0.1814014407334643,1.6271186145698084,0.8185985592665357,0.8185985592665357,0.8185985592665357,0.8185985592665357,0.810449746176942,0.133164588592522,0.2477622317062732,0.5339840510449221,0.1630648330058939,0.0648330058939096,True,
