epoch,train_loss,val_loss
1,0.7086536067657631,0.6934143383858612
2,0.7060061351047547,0.6895249831742345
3,0.6996644954275153,0.6826850050720721
4,0.6905569224384244,0.6680674118231673
5,0.682638999553366,0.6560409885743705
6,0.6743905048963078,0.6471715134810347
7,0.6626665631319557,0.6259946533329579
8,0.6452490615361895,0.5938380683324613
9,0.6290178474600755,0.5679382532011739
10,0.6096547618924573,0.5528597830079537
11,0.5970111462240778,0.5317229946344597
12,0.5820071990263529,0.5086041247647112
13,0.5719765858027522,0.4963683128686241
14,0.565305221763403,0.4813545347906608
15,0.5561861346720317,0.48655805502148625
16,0.5454799138717146,0.4829281723301714
17,0.5412139664898371,0.4725984056680901
18,0.5346508726644117,0.46780554077572584
19,0.5293946524655353,0.4887683500242497
20,0.5287150158728967,0.46992663207633717
