Experiment,Best Epoch,Total Epochs,Final Train Loss,Final Val Loss,Best Val Loss,Overfitting Δ,Generalization Gap
IAM→IAM,20,20,0.1976835915229043,0.1697676903842126,0.1697676903842126,0.0,-0.02791590113869169
IAM→RIMES,5,10,0.2953323655036598,0.7756769698333315,0.6919121272454958,0.08376484258783568,0.48034460432967163
RIMES→IAM,16,20,0.5323933626392058,0.673017777164542,0.612296734512205,0.06072104265233702,0.14062441452533625
RIMES→RIMES,18,20,0.5287150158728967,0.4699266320763371,0.4678055407757258,0.002121091300611333,-0.058788383796559596
