Experiment,AUC,EER (%),Accuracy,Precision,Recall,F1-Score,d',Decidability
IAM→IAM,0.9839233759523388,5.3072625698324005,0.946927374301676,0.9477611940298508,0.9459962756052142,0.9468779123951536,4.482805668461912,4.482805668461912
IAM→RIMES,0.6029882407216307,41.142857142857146,0.5885714285714285,0.5885714285714285,0.5885714285714285,0.5885714285714285,0.2520306663336256,0.2520306663336256
RIMES→IAM,0.8146507248576697,25.549247099481608,0.7445075290051839,0.7445075290051839,0.7445075290051839,0.7445075290051839,1.1261602980862109,1.1261602980862109
RIMES→RIMES,0.8745611797024271,19.52908587257617,0.8047091412742382,0.805131761442441,0.804016620498615,0.8045738045738046,1.6843899201924888,1.6843899201924888
