Experiment,d' (d-prime),Decidability,μ_genuine,μ_impostor,σ_genuine,σ_impostor,KS Statistic,KS p-value,Overlap Ratio
IAM→IAM,3.0608227494098585,4.328657044235528,0.3717454289197922,0.8630017711520195,0.1023710125111184,0.2025820286839372,0.874,5.076269489505443e-199,0.066
IAM→RIMES,1.2357255365605535,1.7475798131747051,0.262043041723984,0.6060841344594955,0.3436206814089006,0.1922278812087754,0.656,5.6637471944750654e-102,0.26
RIMES→IAM,2.407689606687722,3.40498729576252,0.3211508907973766,0.6820353150069713,0.1167963719518231,0.1768942991256901,0.808,6.702128073080789e-164,0.11
RIMES→RIMES,2.0948047355045585,2.962501267473931,0.2861473051965731,0.7777896184921265,0.2900790578759213,0.1613027416567369,0.706,5.315639225574777e-120,0.152
