Metric,Intra-Dataset Mean,Cross-Dataset Mean,Absolute Degradation,Relative Degradation (%)
AUC,0.872954,0.8602,0.012754000000000043,1.4610162734806236
EER,0.21250000000000002,0.207,0.005500000000000033,2.588235294117662
D Prime,1.719841736154672,1.6532219356050248,0.06661980054964722,3.8736006429638037
Decidability,2.432223508405228,2.338008882945326,0.09421462545990211,3.8736006429638206
Accuracy,0.7875,0.7929999999999999,-0.005499999999999949,-0.698412698412692
F1,0.7873158905223033,0.7938588469184891,-0.0065429563961857395,-0.8310458959294165
